order_count_180d,revenue_180d,payment_value_180d,freight_value_180d,item_count_180d,avg_payment_type_count_180d,avg_installments_180d,avg_review_score_180d,review_count_180d,avg_delivery_delay_180d,late_delivery_rate_180d,unique_products_180d,unique_categories_180d,unique_sellers_180d,recency_days,customer_lifetime_days,avg_order_value_180d,orders_per_month_180d,revenue_per_month_180d,actual_churn,predicted_probability,predicted_churn
1,278.0,306.03,28.03,1,1.0,2.0,4.0,1,-28.0,0.0,1,1,1,14,14,278.0,0.16666666666666666,46.333333333333336,1,0.8773168,1
1,1359.9,1391.13,31.23,1,1.0,8.0,5.0,1,-21.0,0.0,1,1,1,15,15,1359.9,0.16666666666666666,226.65,1,0.8769477,1
1,299.0,318.97,19.97,1,1.0,3.0,4.0,1,-29.0,0.0,1,1,1,30,30,299.0,0.16666666666666666,49.833333333333336,1,0.8762149,1
1,998.0,1048.57,50.57,1,1.0,3.0,4.0,1,-14.0,0.0,1,1,1,18,18,998.0,0.16666666666666666,166.33333333333334,1,0.87386256,1
1,1260.0,1305.51,45.51,1,1.0,7.0,5.0,1,-21.0,0.0,1,1,1,21,21,1260.0,0.16666666666666666,210.0,1,0.8736054,1
1,1054.0,1089.96,35.96,1,1.0,10.0,5.0,1,-28.0,0.0,1,1,1,11,11,1054.0,0.16666666666666666,175.66666666666666,1,0.8735751,1
1,699.4,712.65,13.25,1,1.0,3.0,4.0,1,-9.0,0.0,1,1,1,26,26,699.4,0.16666666666666666,116.56666666666666,1,0.87354815,1
1,379.99,398.62,18.63,1,1.0,4.0,5.0,1,-32.0,0.0,1,1,1,5,5,379.99,0.16666666666666666,63.33166666666667,1,0.87243223,1
1,1106.99,1127.29,20.3,1,1.0,6.0,1.0,1,-26.0,0.0,1,1,1,6,6,1106.99,0.16666666666666666,184.49833333333333,1,0.8723726,1
1,349.9,370.33,20.43,1,1.0,8.0,5.0,1,-33.0,0.0,1,1,1,5,5,349.9,0.16666666666666666,58.31666666666666,1,0.8722243,1
1,1514.0,1550.68,36.68,1,1.0,3.0,4.0,1,-10.0,0.0,1,1,1,28,28,1514.0,0.16666666666666666,252.33333333333334,1,0.8720383,1
1,12.99,28.22,15.23,1,1.0,2.0,3.0,1,-16.0,0.0,1,1,1,21,21,12.99,0.16666666666666666,2.165,1,0.87189245,1
1,530.0,554.1,24.1,1,1.0,3.0,3.0,1,-15.0,0.0,1,1,1,14,14,530.0,0.16666666666666666,88.33333333333333,1,0.8717935,1
1,9.0,24.23,15.23,1,1.0,2.0,4.0,1,-18.0,0.0,1,1,1,25,25,9.0,0.16666666666666666,1.5,1,0.8717611,1
1,15.0,27.79,12.79,1,1.0,1.0,4.0,1,-12.0,0.0,1,1,1,27,27,15.0,0.16666666666666666,2.5,1,0.87145495,1
1,1186.0,1275.39,89.39,1,1.0,2.0,5.0,1,-30.0,0.0,1,1,1,15,15,1186.0,0.16666666666666666,197.66666666666666,1,0.8712542,1
1,519.99,537.71,17.72,1,1.0,4.0,5.0,1,-19.0,0.0,1,1,1,19,19,519.99,0.16666666666666666,86.665,1,0.8707379,1
1,19.9,35.13,15.23,1,1.0,3.0,5.0,1,-38.0,0.0,1,1,1,24,24,19.9,0.16666666666666666,3.3166666666666664,1,0.8704738,1
1,399.0,408.66,9.66,1,1.0,8.0,1.0,1,-13.0,0.0,1,1,1,18,18,399.0,0.16666666666666666,66.5,1,0.8697599,1
1,699.0,710.76,11.76,1,1.0,6.0,4.0,1,-12.0,0.0,1,1,1,15,15,699.0,0.16666666666666666,116.5,1,0.8695581,1
1,15.0,27.79,12.79,1,1.0,1.0,4.0,1,-18.0,0.0,1,1,1,17,17,15.0,0.16666666666666666,2.5,1,0.86954325,1
1,1099.99,1125.57,25.58,1,1.0,8.0,4.0,1,-17.0,0.0,1,1,1,29,29,1099.99,0.16666666666666666,183.33166666666668,1,0.8694622,1
1,16.49,34.72,18.23,1,1.0,1.0,4.0,1,-20.0,0.0,1,1,1,16,16,16.49,0.16666666666666666,2.748333333333333,0,0.8692168,1
1,299.0,313.18,14.18,1,1.0,1.0,3.0,1,-18.0,0.0,1,1,1,18,18,299.0,0.16666666666666666,49.833333333333336,1,0.8691912,1
1,607.95,630.09,22.14,1,1.0,6.0,3.0,1,-5.0,0.0,1,1,1,18,18,607.95,0.16666666666666666,101.325,1,0.8691801,1
1,21.99,37.22,15.23,1,1.0,1.0,2.0,1,-14.0,0.0,1,1,1,23,23,21.99,0.16666666666666666,3.6649999999999996,1,0.8691724,1
1,14.0,29.1,15.1,1,1.0,2.0,5.0,1,-28.0,0.0,1,1,1,27,27,14.0,0.16666666666666666,2.3333333333333335,1,0.8690612,1
1,25.0,41.32,16.32,1,1.0,1.0,1.0,1,-21.0,0.0,1,1,1,25,25,25.0,0.16666666666666666,4.166666666666667,1,0.8689066,1
1,728.0,754.81,26.81,1,1.0,8.0,4.0,1,-10.0,0.0,1,1,1,17,17,728.0,0.16666666666666666,121.33333333333333,1,0.868754,1
1,1520.88,1549.41,28.53,1,1.0,10.0,1.0,1,-13.0,0.0,1,1,1,24,24,1520.88,0.16666666666666666,253.48000000000002,1,0.8686765,1
1,439.0,461.8,22.8,1,1.0,1.0,3.0,1,-40.0,0.0,1,1,1,1,1,439.0,0.16666666666666666,73.16666666666667,1,0.8685571,1
1,20.65,35.879999999999995,15.23,1,1.0,1.0,3.0,1,-19.0,0.0,1,1,1,2,2,20.65,0.16666666666666666,3.4416666666666664,1,0.8684828,1
1,737.99,764.12,26.13,1,1.0,4.0,5.0,1,-20.0,0.0,1,1,1,14,14,737.99,0.16666666666666666,122.99833333333333,1,0.86819386,1
1,349.0,378.5,29.5,1,1.0,5.0,4.0,1,-27.0,0.0,1,1,1,5,5,349.0,0.16666666666666666,58.166666666666664,1,0.86805755,1
1,13.65,28.88,15.23,1,1.0,1.0,1.0,1,-7.0,0.0,1,1,1,19,19,13.65,0.16666666666666666,2.275,1,0.8679785,1
1,58.5,71.35,12.85,1,1.0,2.0,5.0,1,-32.0,0.0,1,1,1,23,23,58.5,0.16666666666666666,9.75,1,0.8678161,1
1,989.0,1013.8,24.8,1,1.0,4.0,2.0,1,-16.0,0.0,1,1,1,12,12,989.0,0.16666666666666666,164.83333333333334,1,0.86777073,1
1,117.0,136.95,19.95,1,1.0,3.0,5.0,1,-37.0,0.0,1,1,1,21,21,117.0,0.16666666666666666,19.5,1,0.8676754,1
1,1235.99,1258.73,22.74,1,1.0,2.0,1.0,1,-14.0,0.0,1,1,1,13,13,1235.99,0.16666666666666666,205.99833333333333,1,0.8674733,1
1,17.99,30.78,12.79,1,1.0,1.0,4.0,1,-1.0,0.0,1,1,1,28,28,17.99,0.16666666666666666,2.998333333333333,1,0.86726886,1
1,529.9,549.85,19.95,1,1.0,5.0,4.0,1,-16.0,0.0,1,1,1,22,22,529.9,0.16666666666666666,88.31666666666666,1,0.8672398,1
1,699.0,724.69,25.69,1,1.0,5.0,3.0,1,-7.0,0.0,1,1,1,30,30,699.0,0.16666666666666666,116.5,1,0.867166,1
1,1299.65,1317.04,17.39,1,1.0,8.0,5.0,1,-22.0,0.0,1,1,1,12,12,1299.65,0.16666666666666666,216.60833333333335,1,0.8670441,1
1,19.9,33.37,13.47,1,1.0,1.0,4.0,1,-6.0,0.0,1,1,1,22,22,19.9,0.16666666666666666,3.3166666666666664,1,0.8670406,1
1,585.0,596.86,11.86,1,1.0,8.0,5.0,1,-17.0,0.0,1,1,1,29,29,585.0,0.16666666666666666,97.5,1,0.8667872,1
1,1099.0,1173.56,74.56,1,1.0,3.0,1.0,1,-3.0,0.0,1,1,1,27,27,1099.0,0.16666666666666666,183.16666666666666,1,0.86670995,1
1,325.0,338.77,13.77,1,1.0,3.0,4.0,1,-7.0,0.0,1,1,1,28,28,325.0,0.16666666666666666,54.166666666666664,1,0.8665903,1
1,1099.0,1119.6,20.6,1,1.0,10.0,3.0,1,-8.0,0.0,1,1,1,29,29,1099.0,0.16666666666666666,183.16666666666666,1,0.86659014,1
1,10.0,22.79,12.79,1,1.0,1.0,3.0,1,15.0,1.0,1,1,1,26,26,10.0,0.16666666666666666,1.6666666666666667,1,0.86649257,1
1,14.4,27.19,12.79,1,1.0,1.0,4.0,1,-9.0,0.0,1,1,1,20,20,14.4,0.16666666666666666,2.4,1,0.8662769,1
1,12.9,34.96,22.06,1,1.0,1.0,4.0,1,-21.0,0.0,1,1,1,13,13,12.9,0.16666666666666666,2.15,1,0.8660922,1
1,316.0,326.57,10.57,1,1.0,4.0,2.0,1,-2.0,0.0,1,1,1,29,29,316.0,0.16666666666666666,52.666666666666664,1,0.8659611,1
1,10.0,28.23,18.23,1,1.0,1.0,5.0,1,-21.0,0.0,1,1,1,21,21,10.0,0.16666666666666666,1.6666666666666667,1,0.8659254,1
1,399.0,415.54,16.54,1,1.0,1.0,1.0,1,4.0,1.0,1,1,1,29,29,399.0,0.16666666666666666,66.5,1,0.8658108,1
1,559.99,578.79,18.8,1,1.0,6.0,3.0,1,-8.0,0.0,1,1,1,15,15,559.99,0.16666666666666666,93.33166666666666,1,0.8657321,1
1,858.9,876.82,17.92,1,1.0,10.0,4.0,1,-13.0,0.0,1,1,1,18,18,858.9,0.16666666666666666,143.15,1,0.8655989,1
1,330.0,349.89,19.89,1,1.0,1.0,4.0,1,-20.0,0.0,1,1,1,19,19,330.0,0.16666666666666666,55.0,1,0.86506957,1
1,25.0,34.94,9.94,1,1.0,1.0,2.0,1,3.0,1.0,1,1,1,30,30,25.0,0.16666666666666666,4.166666666666667,1,0.8650231,1
1,599.0,612.01,13.01,1,1.0,3.0,5.0,1,-7.0,0.0,1,1,1,28,28,599.0,0.16666666666666666,99.83333333333333,1,0.86464477,1
1,104.9,123.56,18.66,1,1.0,1.0,3.0,1,-33.0,0.0,1,1,1,6,6,104.9,0.16666666666666666,17.483333333333334,1,0.86423707,1
1,18.9,40.96,22.06,1,1.0,1.0,4.0,1,-20.0,0.0,1,1,1,15,15,18.9,0.16666666666666666,3.15,1,0.86420965,1
1,1700.0,1730.87,30.87,1,1.0,8.0,1.0,1,4.0,1.0,1,1,1,16,16,1700.0,0.16666666666666666,283.3333333333333,1,0.86411613,1
1,539.9,559.85,19.95,1,1.0,3.0,4.0,1,-2.0,0.0,1,1,1,25,25,539.9,0.16666666666666666,89.98333333333333,1,0.8639571,1
1,539.92,562.24,22.32,1,1.0,8.0,1.0,1,9.0,1.0,1,1,1,30,30,539.92,0.16666666666666666,89.98666666666666,1,0.8639085,1
1,1099.0,1140.23,41.23,1,1.0,6.0,3.0,1,-15.0,0.0,1,1,1,4,4,1099.0,0.16666666666666666,183.16666666666666,1,0.86389303,1
1,13.99,29.22,15.23,1,1.0,2.0,4.0,1,1.0,1.0,1,1,1,22,22,13.99,0.16666666666666666,2.3316666666666666,1,0.8637741,1
1,299.99,314.53,14.54,1,1.0,1.0,3.0,1,-7.0,0.0,1,1,1,24,24,299.99,0.16666666666666666,49.998333333333335,1,0.8637519,1
1,539.99,565.83,25.84,1,1.0,10.0,4.0,1,-12.0,0.0,1,1,1,30,30,539.99,0.16666666666666666,89.99833333333333,1,0.86369896,1
1,1635.0,1680.25,45.25,1,1.0,1.0,2.0,1,4.0,1.0,1,1,1,26,26,1635.0,0.16666666666666666,272.5,1,0.86364436,1
1,364.98,379.97,14.99,1,1.0,1.0,3.0,1,14.0,1.0,1,1,1,29,29,364.98,0.16666666666666666,60.830000000000005,1,0.8635168,1
1,19.99,35.22,15.23,1,1.0,1.0,3.0,1,-8.0,0.0,1,1,1,16,16,19.99,0.16666666666666666,3.3316666666666666,1,0.8634647,1
1,14.9,30.13,15.23,1,1.0,2.0,4.0,1,-8.0,0.0,1,1,1,17,17,14.9,0.16666666666666666,2.4833333333333334,1,0.8634276,1
1,325.49,371.35,45.86,1,1.0,1.0,5.0,1,-36.0,0.0,1,1,1,3,3,325.49,0.16666666666666666,54.248333333333335,1,0.86334616,1
1,1599.0,1628.07,29.07,1,1.0,1.0,3.0,1,-15.0,0.0,1,1,1,13,13,1599.0,0.16666666666666666,266.5,1,0.86304754,1
1,499.99,521.37,21.38,1,1.0,4.5,5.0,1,-19.0,0.0,1,1,1,25,25,499.99,0.16666666666666666,83.33166666666666,1,0.86294836,1
1,529.9,555.32,25.42,1,1.0,10.0,3.0,1,-8.0,0.0,1,1,1,15,15,529.9,0.16666666666666666,88.31666666666666,1,0.8629017,1
1,13.9,25.75,11.85,1,1.0,1.0,3.0,1,-7.0,0.0,1,1,1,28,28,13.9,0.16666666666666666,2.316666666666667,1,0.86276305,1
1,79.9,93.82,13.92,1,1.0,3.0,4.0,1,-19.0,0.0,1,1,1,21,21,79.9,0.16666666666666666,13.316666666666668,1,0.8626056,1
1,999.9,1019.34,19.44,1,1.0,10.0,4.0,1,-17.0,0.0,1,1,1,10,10,999.9,0.16666666666666666,166.65,1,0.86252236,1
1,776.0,818.12,42.12,1,1.0,10.0,4.0,1,-13.0,0.0,1,1,1,20,20,776.0,0.16666666666666666,129.33333333333334,1,0.8625054,1
1,140.0,158.56,18.56,1,1.0,5.0,0.0,0,-47.0,0.0,1,1,1,5,5,140.0,0.16666666666666666,23.333333333333332,1,0.862325,1
1,20.9,40.85,19.95,1,1.0,1.0,4.0,1,-35.0,0.0,1,1,1,7,7,20.9,0.16666666666666666,3.483333333333333,1,0.8623068,1
1,580.27,603.3,23.03,1,1.0,2.0,3.0,1,-14.0,0.0,1,1,1,13,13,580.27,0.16666666666666666,96.71166666666666,1,0.8622853,1
1,326.16,343.16,17.0,1,1.0,8.0,4.0,1,1.0,1.0,1,1,1,28,28,326.16,0.16666666666666666,54.36000000000001,1,0.8622022,1
1,489.0,499.29,10.29,1,1.0,1.0,1.0,1,19.0,1.0,1,1,1,16,16,489.0,0.16666666666666666,81.5,1,0.8621646,1
1,149.9,171.0,21.1,1,1.0,1.0,5.0,1,-34.0,0.0,1,1,1,26,26,149.9,0.16666666666666666,24.983333333333334,1,0.8621497,1
1,23.0,35.79,12.79,1,1.0,1.0,5.0,1,-18.0,0.0,1,1,1,26,26,23.0,0.16666666666666666,3.8333333333333335,1,0.8620294,1
1,1399.0,1415.66,16.66,1,1.0,1.0,1.0,1,3.0,1.0,1,1,1,21,21,1399.0,0.16666666666666666,233.16666666666666,1,0.8620259,1
